Dirección;Localidad;Teléfono;email;Entidad_Titular;Sector;servicio_id;cod_catalogo;des_catalogo;CUSEC;Seccion_id
CALLE HIGINIO MANGAS Nº 1 BAJO;VALLADOLID;983 303493;;ASOCIACIÓN VALLISOLETANA DE ALCOHÓLICOS REHABILITADOS (A.V.A.R.);TOXICOMANÍAS Y ADICCIONES;1879;2.6;Servicio general de información, orientación, apoyo y seguimiento a personas drogodependientes;4718607005;2957
CALLE ANCARES S/N;VALLADOLID;979 125000;nserrano@santamarialareal.org;FUNDACIÓN SANTA MARÍA LA REAL DEL PATRIMONIO HISTÓRICO, UN PROYECTO DESDE CASTILLA Y LEÓN;INCLUSIÓN SOCIAL;1894;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4718611042;3099
AVENIDA SALAMANCA 81º-A;VALLADOLID;983 376658;;H H JOSEFINAS DE LA SANTÍSIMA TRINIDAD;INCLUSIÓN SOCIAL;1901;29.10;Servicio de alojamiento para personas sin hogar;4718610051;3056
CALLE AAIUN Nº 7 4º F;VALLADOLID;662 030062;;FUNDACIÓN JUAN SOÑADOR;INFANCIA (Y JUVENTUD);1903;29.2;Servicio de atención residencial para la transición de menores de edad a la vida adulta;4718604018;2895
CALLE GRANADA 21- ENTREPLANTA;VALLADOLID;923 121354;bienvenido@asecal.org;ASECAL;INCLUSIÓN SOCIAL;1912;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4718604040;2913
CALLE LINARES 15;VALLADOLID;983 351748;;FUNDACION ALDABA (PROYECTO HOMBRE);TOXICOMANÍAS Y ADICCIONES;1920;29.11;Serv. asistencia residencial en comunidades terapéuticas para personas con drogodependencia;4718608036;3511
CALLE VALDEBUFO 25;VILLARALBO;;asociacionruralza@gmail.com;ASOCIACIÓN RURALZA;POBLACIÓN GENERAL;2007;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;4926101001;3409
CARRETERA ALDEHUELA NAVE 5  VIVERO EMPRESAS DIPUT.ZAMORA;ZAMORA;607 991479;pagesossolidaris@pagesossolidaris.com;FUNDACIÓN AGRICULTORES SOLIDARIOS;INCLUSIÓN SOCIAL;2009;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4927502014;3450
CALLE PONTEJOS 13;ZAMORA;980 050943;direccion@menesianoszamora.com;HERMANOS DE LA INSTRUCCIÓN CRISTIANA DE ZAMORA;INCLUSIÓN SOCIAL;2013;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4927503004;3457
AVENIDA CARDENAL CISNEROS 26 BAJO;ZAMORA;968 344344;ADMINISTRACION@DIAGRAMA.ORG;FUNDACION DIAGRAMA - INTERVENCION PSICOSOCIAL;INFANCIA (Y JUVENTUD);2015;27.1;Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia;4927502012;3448
PLAZA VIRIATO S/N;ZAMORA;980 559300;presidencia@zamoradipu.es;DIPUTACIÓN PROVINCIAL DE ZAMORA;POBLACIÓN GENERAL;2016;31.1;Servicio de distribución coordinada de alimentos;0000000nan;
CALLE HERNAN CORTES 42;ZAMORA;980 523300;zamora@cruzroja.es;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;2017;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4927502014;3450
CALLE HINIESTA 137;ZAMORA;91 5255099;coordinacion@empleored.org;RED ESPAÑOLA DE ENTIDADES POR EL EMPLEO, RED ARAÑA;INCLUSIÓN SOCIAL;2018;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;4927505004;3465
AVENIDA JUAN CARLOS I Nº 45 CASA DE LAS IDEAS, LOCAL 2;AVILA;676 784974;apoyoavilaer@yahoo.com;ASOCIACIÓN DE APOYO A LAS FAMILIAS CON ENFERMEDADES RARAS Y SIN DIAGNOSTICAR (AFERD);PERSONAS CON DISCAPACIDAD;2050;1.8;Servicio de información especializada sobre discapacidad;0501906012;56
AVENIDA MADRID (DE) 8;AVILA;920 221847;;CÁRITAS DIOCESANA DE ÁVILA;INCLUSIÓN SOCIAL;2054;31.1;Servicio de distribución coordinada de alimentos;0501901002;23
CALLE DOCTOR JESUS GALAN 22 - PLANTA 3º PTA 1 IZQDA;AVILA;666 532610;avila@accem.es;ACCEM;INCLUSIÓN SOCIAL;2055;29.10;Servicio de alojamiento para personas sin hogar;0501905004;44
CALLE LUIS VALERO 14  ESC 3-2º PTA 4;AVILA;666 532610;avila@accem.es;ACCEM;INCLUSIÓN SOCIAL;2056;29.10;Servicio de alojamiento para personas sin hogar;0501906012;56
CALLE SEGOVIA 23 3º 2;AVILA;;avila@accem.es;ACCEM;INCLUSIÓN SOCIAL;2057;29.10;Servicio de alojamiento para personas sin hogar;0501904014;40
CARRETERA BURGOHONDO 5, ESC 1 4º-12;AVILA;666 532610;avila@accem.es;ACCEM;INCLUSIÓN SOCIAL;2058;29.10;Servicio de alojamiento para personas sin hogar;0501904014;40
CALLE CORDEL DE EXTREMADURA S/N EDIFICIO MERCADO DE GANADOS;BARCO DE AVILA (EL);920 352732;administracion@asociacionfaema.org;FAEMA SALUD MENTAL ÁVILA;PERSONAS CON DISCAPACIDAD;2066;9.4;Servicio de promoción de la relación con el entorno;0502101001;59
CALLE FUENTE LUGAREJOS 1;BURGOS;983 307083;info@redincola.org;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;2096;29.10;Servicio de alojamiento para personas sin hogar;0905906001;455
CALLE SAN IGNACIO DE LOYOLA 2;BURGOS;983 307083;info@redincola.org;FUNDACION RED INCOLA;INCLUSIÓN SOCIAL;2097;1.10;Servicio de información especializada sobre inclusión social;0905906001;455
CALLE SAN JUAN 2;BURGOS;947 288816;gss@aytoburgos.es;AYUNTAMIENTO DE BURGOS;INCLUSIÓN SOCIAL;2098;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;0905903004;391
CALLE PANDIETSA 20;VILLABLINO;987 210126;alfaem@alfaem.org;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;PERSONAS CON DISCAPACIDAD;2118;24.11;Servicio de apoyo técnico a personas en situación de dependencia y/o discapacidad.;2420201003;1252
CALLE ANTONIO LOPEZ;MADRID;915 261349;isantos@aebia.com;AEBIA TECNOLOGIA Y SERVICIOS S.L.;PERSONAS MAYORES;2127;9.2;Servicio de promoción de hábitos y estilos de vida saludables;0000000nan;
CARRETERA PALENCIA VILLADA 1;BECERRIL DE CAMPOS;662 321663;;SERVICIOS RESIDENCIALES VAZFER S.L.;PERSONAS MAYORES;2135;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3412701001;1473
CARRETERA MAGDALENA (LA) 11;GUARDO;983 225125;;FUNDACIÓN PERSONAS;INCLUSIÓN SOCIAL;2151;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3400501001;1304
PLAZA CONCORDIA (LA) 8 BAJO;MONZON DE CAMPOS;979 808800;cdrucieza@cdrtcampos.es;ASOCIACION CENTRO DE DESARROLLO RURAL DEL CARRION Y UCIEZA;INCLUSIÓN SOCIAL;2158;1.10;Servicio de información especializada sobre inclusión social;3410801001;1398
CARRETERA ALBA KM 2;CARBAJOSA DE LA SAGRADA;923 219980;administracion@proyectohombresalamanca.es;FUNDACION ALCANDARA;TOXICOMANÍAS Y ADICCIONES;2189;29.11;Serv. asistencia residencial en comunidades terapéuticas para personas con drogodependencia;3708501001;1658
CALLE PROFESOR LUCAS 5-7;SALAMANCA;923 279163;ssociales@aytosalamanca.es;AYUNTAMIENTO DE SALAMANCA;INCLUSIÓN SOCIAL;2209;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3727403009;1897
CALLE HUERTAS DE LA TRINIDAD 2;SALAMANCA;923 219980;administracion@proyectohombresalamanca.es;FUNDACION ALCANDARA;TOXICOMANÍAS Y ADICCIONES;2210;26.21;Servicio de asistencia sociosanitaria ambulatoria a personas con drogodependencia;3727403009;1897
CALLE JESUS 10, BAJO;SALAMANCA;923 994177;contacto@planbeduso.es;FUNDACIÓN PLAN B EDUCACIÓN SOCIAL;INCLUSIÓN SOCIAL;2211;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3727403009;1897
CALLE DOCTOR GOMEZ ULLA 31 5º A;SALAMANCA;;salamanca@accem.es;ACCEM;INCLUSIÓN SOCIAL;2217;29.10;Servicio de alojamiento para personas sin hogar;3727402006;1874
CALLE VAN DYCK 13-15 6º A;SALAMANCA;607 771891;salamanca@accem.es;ACCEM;INCLUSIÓN SOCIAL;2218;29.10;Servicio de alojamiento para personas sin hogar;3727405008;1938
CALLE TORO 78-82 ENTREPLANTA 3, OFICINA 6;SALAMANCA;617 335995;tecnico@redvoluntariadosocial.org;ASOCIACION RED DE VOLUNTARIADO SOCIAL DE SALAMANCA;VOLUNTARIADO;2219;1.13;Servicio de información especializada sobre voluntariado;3727401006;1862
AVENIDA REYES DE ESPAÑA 1 - 3º DCH;SALAMANCA;923 219511;correo@casaescuelasantiagouno.es;CASA ESCUELAS PIAS SANTIAGO UNO (PP ESCOLAPIOS) DE SALAMANCA;INFANCIA (Y JUVENTUD);2221;29.2;Servicio de atención residencial para la transición de menores de edad a la vida adulta;3727403009;1897
CALLE SAN CLAUDIO 16;SALAMANCA;923 269698;caritas@caritasalamanca.org;CARITAS DIOCESANA DE SALAMANCA;TOXICOMANÍAS Y ADICCIONES;2227;26.21;Servicio de asistencia sociosanitaria ambulatoria a personas con drogodependencia;3727404024;1930
CALLE RECTOR MADRUGA S/N;SALAMANCA;923 221032;salamanca@cruzroja.es;CRUZ ROJA ESPAÑOLA;INFANCIA (Y JUVENTUD);2247;27.1;Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia;3727405008;1938
CALLE FERIAL;GOMARA;975 182142;residenciadegomara@gmail.com;FUNDACION DE PERSONAS MAYORES VIRGEN DE LA FUENTE;PERSONAS MAYORES;2289;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;4209601001;2462
CALLE TEATRO Nº 19;SORIA;975 550523;fundacionapipacamz@fundacionapipacam.org;FUNDACIÓN APIP-ACAM;INCLUSIÓN SOCIAL;2294;1.10;Servicio de información especializada sobre inclusión social;4217301001;2523
CALLE CABALLEROS 1;LAGUNA DE DUERO;983 540058;servicios.sociales@lagunadeduero.org;AYUNTAMIENTO DE LAGUNA DE DUERO;POBLACIÓN GENERAL;2305;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;4718604040;2913
CALLE CABALLEROS 1;LAGUNA DE DUERO;983 540058;servicios.sociales@lagunadeduero.org;AYUNTAMIENTO DE LAGUNA DE DUERO;POBLACIÓN GENERAL;2306;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;4718604040;2913
CALLE OLLEROS 1;MAYORGA;983 751568;info@valdecea.com;ASOCIACION CENTRO DE DESARROLLO RURAL VALDECEA;POBLACIÓN GENERAL;2308;31.1;Servicio de distribución coordinada de alimentos;4708401001;2713
CALLE JUAN DE ALAMOS 4 Cª CULTURAL INTEGRADO ISABEL LA CATÓLICA;MEDINA DEL CAMPO;983 811020;rosa.vegas@ayto-medinadelcampo.es;AYUNTAMIENTO DE MEDINA DEL CAMPO;POBLACIÓN GENERAL;2309;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;4708501006;2719
CALLE JUAN DE ALAMOS S/N;MEDINA DEL CAMPO;983 811020;rosa.vegas@ayto-medinaldelcampo.es;AYUNTAMIENTO DE MEDINA DEL CAMPO;POBLACIÓN GENERAL;2310;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;4708501006;2719
CALLE JUAN DE ALAMOS 5;MEDINA DEL CAMPO;983 811020;rosa.vegas@ayto-medina del campo.es;AYUNTAMIENTO DE MEDINA DEL CAMPO;POBLACIÓN GENERAL;2311;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;4708501006;2719
CALLE SAN JUAN 5;MEDINA DE RIOSECO;914 719719;progestionvalladolid@progestion.org;ASOCIACIÓN PROGESTIÓN;INCLUSIÓN SOCIAL;2313;29.10;Servicio de alojamiento para personas sin hogar;4708601001;2728
CALLE JESUS DEL GRAN PODER 39 4º-5ª;AVILA;607 771891;avila@accem.es;ACCEM;INCLUSIÓN SOCIAL;2338;29.10;Servicio de alojamiento para personas sin hogar;0501905004;44
AVENIDA JUAN PABLO II 20;AVILA;920 357102;;DIPUTACIÓN PROVINCIAL DE ÁVILA;POBLACIÓN GENERAL;2339;31.1;Servicio de distribución coordinada de alimentos;0501905004;44
CALLE DON SILVERIO VELASCO 2;ARANDA DE DUERO;947 500075;etristan@arandadeduero.es;AYUNTAMIENTO DE ARANDA DE DUERO;POBLACIÓN GENERAL;2363;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;0901803005;339
CALLE SAN JUAN 2;BURGOS;947 288816;gss@aytoburgos.es;AYUNTAMIENTO DE BURGOS;(FAMILIA);2374;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;0905903004;391
CALLE OSCAR ROMERO 39 5º B;BURGOS;619 742712;burgos@accem.es;ACCEM;INCLUSIÓN SOCIAL;2377;29.10;Servicio de alojamiento para personas sin hogar;0905903004;391
AVENIDA DE LOS REYES CATOLICOS 40-8º H;BURGOS;947 268620;burgos@accem.es;ACCEM;INCLUSIÓN SOCIAL;2378;29.10;Servicio de alojamiento para personas sin hogar;0905905035;437
CALLE VICENTE ALEIXANDRE 17;BURGOS;947 205900;;ASOCIACIÓN DE PROMOCIÓN GITANA (APG);(FAMILIA);2379;12.10;Servicio de apoyo familiar para la inclusión social;0905905035;437
CALLE SAN FRANCISCO 8;BURGOS;947 256219;caritas.cdburgos@caritas.es;CÁRITAS DIOCESANA DE BURGOS;INCLUSIÓN SOCIAL;2380;26.16;Servicio de apoyo para la inclusión social;0905903004;391
CALLE CRUZ ROJA S/N;BURGOS;947 212311;burgos@cruzroja.es;CRUZ ROJA ESPAÑOLA;INFANCIA (Y JUVENTUD);2382;26.5;Servicio de apoyo a menores con conductas violentas en la familia;0905905035;437
PASEO DEL ESPOLÓN 34;BURGOS;947 258600;bsocial@diputaciondeburgos.es;DIPUTACIÓN PROVINCIAL DE BURGOS;POBLACIÓN GENERAL;2385;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;0905903004;391
PASEO DEL ESPOLÓN 34;BURGOS;947 258600;bsocial@diputaciondeburgos.es;DIPUTACIÓN PROVINCIAL DE BURGOS;POBLACIÓN GENERAL;2386;2.1;Servicio de valoración, orientación, planificación de caso y seguimiento;0905903004;391
PLAZA BILBAO 4;BURGOS;947 264642;;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;INFANCIA (Y JUVENTUD);2412;30.1;Serv.protección jurídica y ejercicio tutela para la infancia en situación de desamparo;0905905035;437
AVENIDA COSTA RICA 56 BAJO;BURGOS;947 201430;;ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO;PERSONAS CON DISCAPACIDAD;2418;13.49;Serv.atención en centros a personas situación dependencia por descanso cuidador o cuidadora;0905905048;450
CALLE RIBABELLOSA SN;MIRANDA DE EBRO;;mgarcia@valkiria.org;ASOCIACIÓN VALKIRIA;PERSONAS CON DISCAPACIDAD;2441;27.4;Servicio de apoyo para la integración sociolaboral de las personas con discapacidad;0905906001;455
CALLE RIO EBRO 33;MIRANDA DE EBRO;947 256219;caritas.cdburgos@caritas.es;CÁRITAS DIOCESANA DE BURGOS;INCLUSIÓN SOCIAL;2443;26.16;Servicio de apoyo para la inclusión social;0921904003;686
CALLE CALIFORNIAS 135 BAJO;MIRANDA DE EBRO;947 349100;animacionceas@mirandadeebro.es;AYUNTAMIENTO DE MIRANDA DE EBRO;INCLUSIÓN SOCIAL;2444;29.10;Servicio de alojamiento para personas sin hogar;0921904003;686
CALLE ALMACENES 18-20;MIRANDA DE EBRO;947 312801;saludmentalmiranda@saludmentalmiranda.com;ASOCIACIÓN AYUDA ENFERMOS MENTALES DE MIRANDA - SALUD MENTAL MIRANDA;PERSONAS MAYORES;2445;9.2;Servicio de promoción de hábitos y estilos de vida saludables;0921904003;686
CALLE ALMACENES 18-20;MIRANDA DE EBRO;947 312801;saludmentalmiranda@saludmentalmiranda.org;ASOCIACIÓN AYUDA ENFERMOS MENTALES DE MIRANDA - SALUD MENTAL MIRANDA;PERSONAS CON DISCAPACIDAD;2446;11.6;Serv. apoyo familiar-promoción autonomía personal-situaciones de dependencia y/o discapacidad;0921904003;686
CALLE ALMACENES 18-20;MIRANDA DE EBRO;947 312801;saludmentalmiranda@saludmentalmiranda;ASOCIACIÓN AYUDA ENFERMOS MENTALES DE MIRANDA - SALUD MENTAL MIRANDA;PERSONAS MAYORES;2451;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;0921904003;686
CALLE CAVA 58;PEÑARANDA DE DUERO;947 552091;rdb@riberadeldueroburgalesa.com;ASOCIACIÓN PARA EL  DESARROLLO RURAL INTEGRAL DE LA RIBERA DEL DUERO BURGALESA;VOLUNTARIADO;2456;1.13;Servicio de información especializada sobre voluntariado;0926101001;719
CALLE CAVA 58;PEÑARANDA DE DUERO;947 552091;rdb@riberadeldueroburgalesa.com;ASOCIACIÓN PARA EL  DESARROLLO RURAL INTEGRAL DE LA RIBERA DEL DUERO BURGALESA;MUJER;2457;27.2;Serv. apoyo para la integración sociolaboral de mujeres víctimas de violencia de género;0926101001;719
CALLE VALDENUÑEZ, 8;SANTA MARIA TAJADURA;947 461243;;ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO;PERSONAS CON DISCAPACIDAD;2459;13.49;Serv.atención en centros a personas situación dependencia por descanso cuidador o cuidadora;0990701001;894
CALLE CARDENAL CISNEROS 9;ROA DE DUERO;947 546080;direccion@saludmentalaranda.org;ASOCIACION SALUD MENTAL ARANDA;MUJER;2460;29.5;Serv. atención integral mujeres víctimas violencia género discapacidad enfermedad mental grave;0932101002;763
CARRETERA DE BURGOS, KM. 4,3;QUINTANADUEÑAS;947 238562;fundacion@aspaniasburgos.com;FUNDACIÓN ASPANIAS BURGOS;PERSONAS CON DISCAPACIDAD;2482;13.49;Serv.atención en centros a personas situación dependencia por descanso cuidador o cuidadora;0990701001;894
CALLE MARTINEZ SALAZAR 8;ASTORGA;669 017804;director@caritasastorga.com;CARITAS DIOCESANA DE ASTORGA;INCLUSIÓN SOCIAL;2486;29.10;Servicio de alojamiento para personas sin hogar;2400802003;907
PLAZA DE LOS MARQUESES 9,BAJO;ASTORGA;987 099030;astorga@alfaem.org;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;PERSONAS CON DISCAPACIDAD;2487;11.6;Serv. apoyo familiar-promoción autonomía personal-situaciones de dependencia y/o discapacidad;2400802003;907
PLAZA DE LOS MARQUESES 9,BAJO;ASTORGA;987 099030;astorga@alfaem.org;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;MUJER;2488;29.5;Serv. atención integral mujeres víctimas violencia género discapacidad enfermedad mental grave;2400802003;907
CALLE GENNEVILLIERS 4 2ºF;BAÑEZA (LA);987 641304;contabilidad@lecaser.com;IBEROCASER S.L.;PERSONAS MAYORES;2496;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;2401001004;914
CALLE MOISES DE LEON 24;LEON;607 888003;info@prevencioncardiaca.es;ASOCIACIÓN LEONESA PARA LA PREVENCIÓN CARDÍACA;PERSONAS MAYORES;2515;9.2;Servicio de promoción de hábitos y estilos de vida saludables;2408910005;1080
AVENIDA REINO DE LEON 12;LEON;987 261449;info@isadoraduncan.es;FUNDACIÓN DE FAMILIAS MONOPARENTALES ISADORA DUNCAN;INCLUSIÓN SOCIAL;2516;26.16;Servicio de apoyo para la inclusión social;2408910005;1080
AVENIDA PADRE ISLA 57;LEON;987 895727;;AYUNTAMIENTO DE LEÓN;(FAMILIA);2518;12.11;Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria;2408902010;1004
CALLE CID 24;LEON;987 252535;castillayleon@cruzroja.es;CRUZ ROJA ESPAÑOLA;PERSONAS MAYORES;2519;9.3;Servicio de adquisición de competencias para la vida autónoma;2411503001;1134
CALLE SAN PEDRO 19;LEON;987 222590;ssvp@ssvp.es;SOCIEDAD DE SAN VICENTE DE PAUL;INCLUSIÓN SOCIAL;2520;31.2;Servicio de provisión inmediata de alimentación;2408910007;1082
CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;LEON;666 663364;belenaren@activosyfelices.org;ASOCIACION ACTIVOS Y FELICES;PERSONAS CON DISCAPACIDAD;2522;22.1;Prestación económica para productos de apoyo y la eliminación de barreras en el domicilio;2408908002;3508
CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;LEON;666 663364;belenaren@activosyfelices.org;ASOCIACION ACTIVOS Y FELICES;PERSONAS MAYORES;2523;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;2408908002;3508
CALLE CAMPOS GOTICOS (LOS) 5 ALBERUE ASOCIACIONES CHF;LEON;666 663364;belenaren@activosyfelices.org;ASOCIACION ACTIVOS Y FELICES;PERSONAS CON DISCAPACIDAD;2524;1.9;Servicio de información y orientación especializada sobre accesibilidad;2408908002;3508
CALLE SAN JUAN BOSCO 11;LEON;987 213192;info@cjboscoleon.org;ASOCIACION CENTRO JUVENIL DON BOSCO;INCLUSIÓN SOCIAL;2525;12.10;Servicio de apoyo familiar para la inclusión social;2416201001;3525
AVENIDA FACULTAD DE VETERINARIA 59;LEON;983 306466;contabilidad@aclad.net;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;MUJER;2526;29.7;Serv atención especializ. mujeres/niñas víctimas trata con fines explotación sexual;2408905008;1048
PLAZA SAN MARCELO 6;LEON;987 085003;derechossociales@dipuleon.es;DIPUTACIÓN PROVINCIAL DE LEÓN;POBLACIÓN GENERAL;2527;1.1;Servicio de información sobre derechos y recursos del sistema de servicios sociales;2408903010;1014
CALLE MEDUL 3,2º;LEON;638 794430;leon@accem.es;ACCEM;INCLUSIÓN SOCIAL;2530;29.10;Servicio de alojamiento para personas sin hogar;2408910007;1082
CALLE TORREJON (EL) 4;LEON;663 402129;direccion@proyectojovenleon.org;FUNDACIÓN PROYECTO JOVEN;INCLUSIÓN SOCIAL;2537;2.6;Serv.general de información, orientación, apoyo y seguimiento a personas drogodependientes;2408910007;1082
AVENIDA PADRE ISLA 57;LEON;987 249956;;ASOCIACIÓN DE PERSONAS SORDAS DE LEÓN SAN JUAN BAUTISTA;PERSONAS CON DISCAPACIDAD;2558;23.2;Serv. intérprete lengua de signos para el acceso al Sistema Público de Servicios Sociales;2408903010;1014
CALLE MEDICOS SIN FRONTERAS 8;PONFERRADA;987 455120;informacionph@gmail.com;FUNDACIÓN CENTRO ASTORGANO LEONÉS DE SOLIDARIDAD - CALS;INFANCIA (Y JUVENTUD);2573;26.6;Servicio de mediación en el ámbito de la jurisdicción de menores infractores/as;2411502017;1133
CALLE CHILE 64;PONFERRADA;;mirandohaciaelfuturo07@gmail.com;"ASOCIACION DE NIÑOS Y JOVENES INMIGRANTES ""MIRANDO HACIA EL FUTURO""";POBLACIÓN GENERAL;2578;10.1;Servicio de acción social comunitaria y promoción de la solidaridad;2411501008;1112
CALLE MEDICOS SIN FRONTERAS 8;PONFERRADA;987 455120;informacionph@gmail.com;FUNDACIÓN CENTRO ASTORGANO LEONÉS DE SOLIDARIDAD - CALS;TOXICOMANÍAS Y ADICCIONES;2579;29.11;Serv. asistencia residencial en comunidades terapéuticas para personas con drogodependencia;2411502017;1133
CALLE BRINDIS MORÁN 2;PONFERRADA;987 427720;ponferrada@alfaem.org;ASOCIACIÓN LEONESA DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES - ALFAEM;PERSONAS CON DISCAPACIDAD;2584;9.5;Servicio de promoción del conocimiento y la adquisición de habilidades;2411502017;1133
CALLE SANTO SAN PEDRO 1;PALENCIA;697 436552;blancaescuderosalas@gmail.com;BLANCA ESCUDERO SALAS;PERSONAS MAYORES;2618;28.3;Servicio de atención en centros de día para personas mayores en situación de dependencia;3412005006;1430
CALLE CRUZ ROJA (DE LA) 5;PALENCIA;689 662599;;CRUZ ROJA ESPAÑOLA;INFANCIA (Y JUVENTUD);2619;26.7;Servicio de intervención educativa con menores infractores/as en medio abierto;3412005004;1428
CALLE CRUZ ROJA (DE LA) 5;PALENCIA;698 662399;;CRUZ ROJA ESPAÑOLA;INCLUSIÓN SOCIAL;2620;1.10;Servicio de información especializada sobre inclusión social;3412005004;1428
CALLE MARIA DE PADILLA 1;PALENCIA;979 744847;;PERAL SALVADOR S.L.;PERSONAS MAYORES;2621;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3412005004;1428
CALLE SALVINO SIERRA 8 BAJO - CEAS PUENTECILLAS;PALENCIA;628 668791;diversas.asociacion@gmail.com;ASOCIACIÓN DE MUJERES DIVERSAS EN RED;MUJER;2622;1.7;Servicio de información especializada sobre violencia de género;3412006002;1441
AVENIDA CASADO DEL ALISAL 32;PALENCIA;979 715400;;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;INFANCIA (Y JUVENTUD);2639;30.1;Serv.protección jurídica y ejercicio tutela para la infancia en situación de desamparo;3412005006;1430
PASAJE DON BOSCO 1;VILLAMURIEL DE CERRATO;646 064222;;ASOCIACION CENTRO JUVENIL DON BOSCO;INFANCIA (Y JUVENTUD);2654;27.1;Serv. apoyo para integración sociolaboral de menores provenientes de sistemas de infancia;3422501002;1545
CALLE VITIGUDINO 13;CASTELLANOS DE MORISCOS;916 927130;prodrigo@albertia.es;ALBERTIA SERVICIOS SOCIOSANITARIOS, S.A.;PERSONAS MAYORES;2672;29.13;Servicio de atención residencial para personas mayores en situación de dependencia;3727801001;1979
CALLE DIEZ TARAVILLA 4;CIUDAD-RODRIGO;923 460693;cd.ciudadrodrigo@caritas.es;CARITAS DIOCESANA DE CIUDAD RODRIGO;INCLUSIÓN SOCIAL;2675;2.5;Servicio de valoración, orientación y planificación de caso para la inclusión social;3710703001;1689
CALLE DIEZ TARAVILLA 4;CIUDAD-RODRIGO;923 460693;cd.ciudadrodrigo@caritas.es;CARITAS DIOCESANA DE CIUDAD RODRIGO;INCLUSIÓN SOCIAL;2676;27.5;Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social;3710703001;1689
CALLE JULITA RAMOS S/N;SALAMANCA;923 221032;salamanca@cruzroja.es;CRUZ ROJA ESPAÑOLA;INFANCIA (Y JUVENTUD);2707;26.7;Servicio de intervención educativa con menores infractores/as en medio abierto;3727405020;1950
PASEO ROBLES 12;SALAMANCA;923 019031;salamanca.acoge.presidencia@redacoge.org;ASOCIACION SALAMANCA ACOGE;INCLUSIÓN SOCIAL;2708;29.10;Servicio de alojamiento para personas sin hogar;3727405020;1950
CALLE GRANATE;SALAMANCA;607 771891;salamanca@accem.es;ACCEM;INCLUSIÓN SOCIAL;2711;29.10;Servicio de alojamiento para personas sin hogar;3727404009;1916
CALLE AZAFRANAL 18 PASAJE, LOCAL 4;SALAMANCA;923 264547;ana@ayudatesalamanca.com;AYUDATE 2009, S.L.;PERSONAS MAYORES;2712;9.4;Servicio de promoción de la relación con el entorno;3727402001;1869
CALLE MAESTRO AVILA 1 2º E;SALAMANCA;914 212133;fshc@fshijasdelacaridad.org;FUNDACIÓN SOCIAL HIJAS DE LA CARIDAD;INCLUSIÓN SOCIAL;2713;29.10;Servicio de alojamiento para personas sin hogar;3727401006;1862
